ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20190313,745.5,760.75,745.5,754.0,745.01,8.99,1.2067,40561.36,3058080.906
600519.SH,20190314,757.0,785.0,754.0,778.0,754.0,24.0,3.183,62172.56,4808607.656
600519.SH,20190315,776.0,787.5,764.85,777.3,778.0,-0.7,-0.09,52400.71,4084798.328
600519.SH,20190318,778.8,814.53,777.0,810.09,777.3,32.79,4.2184,81318.8,6499566.987
600519.SH,20190319,803.0,807.92,792.3,792.61,810.09,-17.48,-2.1578,40634.93,3244967.39
600519.SH,20190320,790.0,802.3,785.0,792.8,792.61,0.19,0.024,31117.52,2470811.128
600519.SH,20190321,788.0,792.8,781.5,785.75,792.8,-7.05,-0.8893,32573.28,2558222.913
600519.SH,20190322,788.22,799.98,785.0,794.0,785.75,8.25,1.05,30517.5,2420497.823
600519.SH,20190325,786.0,788.0,773.3,775.6,794.0,-18.4,-2.3174,37270.46,2903744.159
600519.SH,20190326,780.0,785.94,764.1,773.0,775.6,-2.6,-0.3352,37595.69,2914112.997
600519.SH,20190327,781.0,793.88,775.0,788.5,773.0,15.5,2.0052,42807.39,3366132.247
600519.SH,20190328,793.43,814.48,785.68,806.8,788.5,18.3,2.3209,57566.76,4615969.704
600519.SH,20190329,835.0,866.68,830.17,853.99,806.8,47.19,5.849,90933.96,7702154.797
600519.SH,20190401,860.0,868.95,851.0,859.0,853.99,5.01,0.5867,60934.61,5228521.999
600519.SH,20190402,859.99,859.99,836.06,850.0,859.0,-9.0,-1.0477,53227.05,4496538.849
600519.SH,20190403,840.12,851.74,834.21,844.5,850.0,-5.5,-0.6471,43056.8,3629854.319
600519.SH,20190404,840.0,865.8,836.2,865.0,844.5,20.5,2.4275,55772.36,4763897.857
600519.SH,20190408,900.0,908.0,890.12,900.2,865.0,35.2,4.0694,66251.93,5944780.639
600519.SH,20190409,903.0,908.2,892.51,905.0,900.2,4.8,0.5332,47989.8,4308645.696
600519.SH,20190410,903.0,951.9,900.0,947.99,905.0,42.99,4.7503,67814.38,6331858.748
600519.SH,20190411,948.0,950.0,905.55,925.2,947.99,-22.79,-2.404,61102.54,5643817.564
600519.SH,20190412,909.0,919.99,900.01,914.0,925.2,-11.2,-1.2105,48612.17,4419349.981
600519.SH,20190415,931.0,939.0,907.0,907.0,914.0,-7.0,-0.7659,45522.64,4205548.308
600519.SH,20190416,904.9,939.9,901.22,939.9,907.0,32.9,3.6273,46423.44,4297385.218
600519.SH,20190417,938.0,955.51,925.0,952.0,939.9,12.1,1.2874,40761.02,3848216.557
600519.SH,20190418,945.41,954.68,936.22,945.5,952.0,-6.5,-0.6828,19598.52,1853076.08
600519.SH,20190419,943.96,960.95,931.31,952.56,945.5,7.06,0.7467,32379.78,3064971.032
600519.SH,20190422,959.5,978.89,940.61,949.2,952.56,-3.36,-0.3527,40627.96,3897168.684
600519.SH,20190423,951.0,981.22,949.2,974.95,949.2,25.75,2.7128,48852.05,4725480.295
600519.SH,20190424,979.88,990.0,951.22,970.0,974.95,-4.95,-0.5077,45227.0,4383873.128
600519.SH,20190425,968.79,973.99,951.22,952.37,970.0,-17.63,-1.8175,39801.34,3822767.525
600519.SH,20190426,946.3,959.88,945.0,945.0,952.37,-7.37,-0.7739,43277.68,4119727.292
600519.SH,20190429,945.0,989.0,935.0,971.97,945.0,26.97,2.854,52572.3,5086408.528
600519.SH,20190430,968.0,984.96,963.11,974.0,971.97,2.03,0.2089,35943.18,3503937.512
600519.SH,20190506,925.5,935.0,893.0,906.0,974.0,-68.0,-6.9815,135099.68,12299395.806
600519.SH,20190507,893.28,913.94,870.22,890.0,906.0,-16.0,-1.766,100837.26,9045117.765
600519.SH,20190508,860.0,901.8,860.0,884.4,890.0,-5.6,-0.6292,81882.98,7217709.507
600519.SH,20190509,875.0,879.87,842.5,858.81,884.4,-25.59,-2.8935,91545.15,7863312.116
600519.SH,20190510,875.66,910.78,868.19,907.12,858.81,48.31,5.6252,79907.38,7121198.718
600519.SH,20190513,898.86,910.98,884.0,892.0,907.12,-15.12,-1.6668,46637.18,4179329.433
600519.SH,20190514,885.0,906.0,873.0,886.57,892.0,-5.43,-0.6087,59983.12,5349455.647
600519.SH,20190515,890.24,933.0,890.24,927.0,886.57,40.43,4.5603,63124.25,5778791.845
600519.SH,20190516,919.0,932.0,905.0,929.91,927.0,2.91,0.3139,44540.12,4108281.95
600519.SH,20190517,927.02,932.3,900.1,906.79,929.91,-23.12,-2.4863,49841.61,4551116.799
600519.SH,20190520,900.0,900.0,871.0,884.96,906.79,-21.83,-2.4074,44407.99,3931645.928
600519.SH,20190521,885.0,910.0,872.02,895.0,884.96,10.04,1.1345,42385.65,3791406.204
600519.SH,20190522,894.98,904.0,880.0,888.0,895.0,-7.0,-0.7821,32041.58,2853872.828
600519.SH,20190523,881.0,883.98,856.22,861.0,888.0,-27.0,-3.0405,58058.63,5062812.286
600519.SH,20190524,865.0,885.0,864.44,878.5,861.0,17.5,2.0325,44034.09,3858962.204
600519.SH,20190527,879.1,882.99,860.05,879.0,878.5,0.5,0.0569,39161.91,3417213.669
600519.SH,20190528,877.99,907.49,875.02,888.0,879.0,9.0,1.0239,74772.77,6670856.081
600519.SH,20190529,888.01,924.95,888.01,911.91,888.0,23.91,2.6926,65646.96,5963755.397
600519.SH,20190530,910.0,919.99,891.22,905.3,911.91,-6.61,-0.7249,40247.2,3634187.681
600519.SH,20190531,900.53,906.99,890.0,890.0,905.3,-15.3,-1.69,35793.8,3211384.923
600519.SH,20190603,892.0,901.35,886.28,892.0,890.0,2.0,0.2247,34479.24,3076922.33
600519.SH,20190604,895.0,895.43,871.0,875.3,892.0,-16.7,-1.8722,39689.48,3481384.251
600519.SH,20190605,884.0,886.26,870.0,871.6,875.3,-3.7,-0.4227,34067.36,2988114.67
600519.SH,20190606,875.62,875.77,858.0,862.13,871.6,-9.47,-1.0865,34786.85,3009567.792
600519.SH,20190610,857.98,878.95,840.0,871.08,862.13,8.95,1.0381,55502.46,4790052.574
600519.SH,20190611,876.0,915.61,875.0,910.89,871.08,39.81,4.5702,80106.44,7209086.88
600519.SH,20190612,906.22,910.99,894.0,906.7,910.89,-4.19,-0.46,37747.4,3420899.273
600519.SH,20190613,910.0,912.3,897.0,910.0,906.7,3.3,0.364,32917.42,2984741.685
600519.SH,20190614,911.0,932.3,910.02,913.0,910.0,3.0,0.3297,42455.04,3905679.105
600519.SH,20190617,907.0,926.94,906.02,911.6,913.0,-1.4,-0.1533,32769.03,3001512.189
